Epoch,Training Loss,Validation Loss
1,0.027357708662748337,0.008347433060407639
2,0.0061667002737522125,0.00297526060603559
3,0.004222398158162832,0.002318924991413951
4,0.004298664163798094,0.002409555483609438
5,0.0038363561034202576,0.002016996266320348
6,0.003085535252466798,0.0023189224302768707
7,0.0034700860269367695,0.001786043867468834
8,0.0032213476952165365,0.0018122447654604912
9,0.0034625243861228228,0.0021939417347311974
10,0.0035477748606354,0.0038902745582163334
11,0.0031937852036207914,0.0015895519172772765
12,0.0027586340438574553,0.001574058784171939
13,0.003182480111718178,0.0014273178530856967
14,0.002923005260527134,0.00230112811550498
15,0.0027097126003354788,0.0013413263950496912
16,0.002743734512478113,0.0012831680942326784
17,0.002444562967866659,0.0016007176600396633
18,0.0025921433698385954,0.001475870725698769
19,0.0023125058505684137,0.0012099810410290956
20,0.0025525533128529787,0.002227616962045431
